epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.593,1.606,4.02884,1.41438,0.0148,0.31142,0.06547,0.04237,1.50353,3.88623,1.27244,0.000203373,0.000203373,0.000203373
2,51.5066,1.59832,3.01691,1.35483,0.83552,0.11258,0.1344,0.08086,1.59813,2.89724,1.32717,0.00040763,0.00040763,0.00040763
3,76.5648,1.60663,2.38722,1.32736,0.63303,0.17639,0.17389,0.10116,1.64252,2.40501,1.37945,0.000607763,0.000607763,0.000607763
4,101.587,1.53571,2.14884,1.29102,0.72869,0.20133,0.19729,0.10946,1.5115,2.27686,1.33975,0.000606437,0.000606437,0.000606437
5,126.64,1.52056,1.99166,1.30558,0.68703,0.2855,0.27296,0.16221,1.4672,1.92961,1.31108,0.00060025,0.00060025,0.00060025
6,151.589,1.45995,1.86491,1.29196,0.68294,0.30444,0.30241,0.18483,1.37588,1.91109,1.24552,0.000594062,0.000594062,0.000594062
7,177.328,1.43157,1.75061,1.26748,0.83017,0.24325,0.31122,0.18862,1.43807,1.77855,1.24244,0.000587875,0.000587875,0.000587875
8,202.728,1.39531,1.71061,1.25138,0.7769,0.29327,0.3207,0.19643,1.47986,1.74287,1.26772,0.000581687,0.000581687,0.000581687
9,227.626,1.37428,1.66195,1.23699,0.68113,0.34132,0.36643,0.23446,1.36461,1.59496,1.24142,0.0005755,0.0005755,0.0005755
10,252.275,1.33617,1.58828,1.23849,0.6388,0.32759,0.34925,0.2325,1.32479,1.54449,1.21889,0.000569313,0.000569313,0.000569313
11,276.786,1.30164,1.46273,1.21596,0.73151,0.33646,0.36799,0.2379,1.28254,1.4964,1.21031,0.000563125,0.000563125,0.000563125
12,301.763,1.3025,1.52286,1.22496,0.81707,0.34052,0.36888,0.22263,1.30694,1.49392,1.21076,0.000556938,0.000556938,0.000556938
13,326.543,1.30218,1.49902,1.21262,0.76649,0.37029,0.38412,0.2392,1.34919,1.41955,1.22071,0.00055075,0.00055075,0.00055075
14,351.381,1.33226,1.45687,1.22714,0.76192,0.3683,0.40658,0.24946,1.40864,1.35365,1.24275,0.000544563,0.000544563,0.000544563
15,376.295,1.28946,1.40054,1.21117,0.76245,0.36172,0.42879,0.27439,1.35885,1.30514,1.22819,0.000538375,0.000538375,0.000538375
16,400.977,1.2644,1.36933,1.19271,0.74385,0.37581,0.44005,0.28865,1.32747,1.30114,1.20374,0.000532187,0.000532187,0.000532187
17,425.299,1.20926,1.32845,1.16983,0.7464,0.37639,0.43603,0.29109,1.34673,1.33175,1.21724,0.000526,0.000526,0.000526
18,449.974,1.23201,1.32074,1.17485,0.78002,0.37994,0.44188,0.28678,1.28615,1.3013,1.21211,0.000519812,0.000519812,0.000519812
19,474.307,1.19077,1.2932,1.1698,0.71096,0.40401,0.44434,0.30563,1.25109,1.23432,1.19336,0.000513625,0.000513625,0.000513625
20,500.212,1.19131,1.27295,1.16996,0.78773,0.42462,0.47391,0.31879,1.25246,1.21463,1.15352,0.000507438,0.000507438,0.000507438
21,531.419,1.18535,1.2608,1.13677,0.70711,0.45252,0.46599,0.30723,1.2713,1.25827,1.16064,0.00050125,0.00050125,0.00050125
22,562.153,1.20714,1.28017,1.17004,0.69727,0.44714,0.47188,0.3105,1.24237,1.20791,1.14631,0.000495063,0.000495063,0.000495063
23,593.722,1.18856,1.23824,1.15396,0.74804,0.42466,0.46866,0.3016,1.27664,1.17611,1.17558,0.000488875,0.000488875,0.000488875
24,624.856,1.17064,1.22753,1.15343,0.68203,0.4334,0.43527,0.27661,1.27096,1.1996,1.17216,0.000482687,0.000482687,0.000482687
25,656.592,1.19385,1.2291,1.15786,0.64518,0.46178,0.46128,0.29903,1.26257,1.22182,1.16886,0.0004765,0.0004765,0.0004765
26,689.169,1.21865,1.20088,1.157,0.74152,0.45468,0.47774,0.32231,1.33239,1.26009,1.236,0.000470312,0.000470312,0.000470312
27,717.179,1.18458,1.19807,1.15039,0.77283,0.44143,0.47539,0.31889,1.25756,1.19107,1.17773,0.000464125,0.000464125,0.000464125
28,741.789,1.1667,1.17041,1.13277,0.7564,0.4277,0.47907,0.32661,1.25398,1.1802,1.1648,0.000457938,0.000457938,0.000457938
29,766.787,1.12592,1.13138,1.1217,0.78717,0.43132,0.50272,0.33587,1.22736,1.15721,1.15886,0.00045175,0.00045175,0.00045175
30,791.175,1.12618,1.1306,1.14637,0.76961,0.43502,0.49834,0.33665,1.17849,1.14073,1.12389,0.000445562,0.000445562,0.000445562
31,815.945,1.11581,1.15313,1.12434,0.8251,0.43941,0.50524,0.3308,1.21762,1.12316,1.13521,0.000439375,0.000439375,0.000439375
32,840.441,1.12686,1.10096,1.11558,0.76703,0.47409,0.53714,0.35668,1.21076,1.13682,1.12839,0.000433187,0.000433187,0.000433187
33,864.763,1.10872,1.10742,1.11541,0.82491,0.44544,0.5424,0.36205,1.22351,1.09976,1.14242,0.000427,0.000427,0.000427
34,889.217,1.10454,1.10992,1.11036,0.78503,0.46159,0.51125,0.34056,1.215,1.1,1.12994,0.000420812,0.000420812,0.000420812
35,915.71,1.12771,1.08495,1.1187,0.78546,0.46052,0.5031,0.34255,1.16368,1.08086,1.11101,0.000414625,0.000414625,0.000414625
36,940.708,1.09538,1.07835,1.10177,0.75021,0.47614,0.5009,0.33319,1.1644,1.08784,1.08573,0.000408438,0.000408438,0.000408438
37,967.783,1.08466,1.07294,1.09906,0.80269,0.45791,0.5026,0.33789,1.17145,1.07582,1.13336,0.00040225,0.00040225,0.00040225
38,998.537,1.09021,1.06389,1.12064,0.84975,0.43354,0.50427,0.32485,1.23003,1.06121,1.17234,0.000396063,0.000396063,0.000396063
39,1029.36,1.07413,1.04821,1.10574,0.81268,0.4449,0.5008,0.3374,1.19436,1.06281,1.12839,0.000389875,0.000389875,0.000389875
40,1061.01,1.07648,1.05405,1.09621,0.80554,0.46405,0.53201,0.3523,1.17556,1.0242,1.1293,0.000383688,0.000383688,0.000383688
41,1091.5,1.11959,1.08163,1.11415,0.81625,0.47944,0.5476,0.37908,1.20581,1.04366,1.14785,0.0003775,0.0003775,0.0003775
42,1122.49,1.09179,1.03944,1.11072,0.75123,0.51678,0.5487,0.37484,1.16704,1.03335,1.15327,0.000371313,0.000371313,0.000371313
43,1154.66,1.06738,1.01823,1.09745,0.77517,0.50688,0.54673,0.36506,1.17701,1.05526,1.14516,0.000365125,0.000365125,0.000365125
44,1186.4,1.06565,1.02177,1.08317,0.82229,0.47269,0.52489,0.35251,1.20554,1.06437,1.16975,0.000358938,0.000358938,0.000358938
45,1217.96,1.04266,1.00285,1.09309,0.85697,0.45103,0.5582,0.37679,1.15745,1.02621,1.11767,0.00035275,0.00035275,0.00035275
46,1248.49,1.04808,1.00399,1.08311,0.83096,0.46717,0.54724,0.37232,1.13775,1.02287,1.09838,0.000346563,0.000346563,0.000346563
47,1272.98,1.05289,0.97956,1.07025,0.74565,0.48639,0.54277,0.36437,1.11343,0.99793,1.08944,0.000340375,0.000340375,0.000340375
48,1297.33,1.04468,0.97062,1.07753,0.81847,0.46208,0.58416,0.40018,1.12226,0.99041,1.09225,0.000334188,0.000334188,0.000334188
49,1323.03,1.03231,1.00414,1.08004,0.81179,0.4662,0.5705,0.38776,1.13042,0.9907,1.09326,0.000328,0.000328,0.000328
50,1351.03,1.04168,0.98143,1.08283,0.81211,0.45881,0.59261,0.41525,1.13028,1.00252,1.09749,0.000321812,0.000321812,0.000321812
51,1378.43,1.01423,0.96295,1.07137,0.75152,0.49428,0.60623,0.41794,1.12365,0.98864,1.08955,0.000315625,0.000315625,0.000315625
52,1408.81,0.9969,0.9304,1.06478,0.83638,0.47968,0.62044,0.41495,1.1175,0.99226,1.0926,0.000309437,0.000309437,0.000309437
53,1435.76,1.01215,0.93551,1.06903,0.80767,0.48956,0.6426,0.43541,1.12417,0.96837,1.09537,0.00030325,0.00030325,0.00030325
54,1460.06,1.02759,0.94478,1.06751,0.83906,0.47351,0.6352,0.42328,1.11198,0.95124,1.09172,0.000297063,0.000297063,0.000297063
55,1484.28,0.98371,0.93765,1.05837,0.78669,0.46696,0.60442,0.40334,1.15543,0.95121,1.09574,0.000290875,0.000290875,0.000290875
56,1508.81,0.98169,0.931,1.06906,0.77399,0.49386,0.59705,0.40361,1.14092,0.96945,1.09622,0.000284688,0.000284688,0.000284688
57,1536.65,0.99838,0.90066,1.0482,0.81152,0.48375,0.5852,0.40037,1.109,0.9265,1.08398,0.0002785,0.0002785,0.0002785
58,1567.21,0.98344,0.92956,1.05499,0.79751,0.49618,0.59208,0.40317,1.14504,0.95063,1.0887,0.000272313,0.000272313,0.000272313
59,1598.41,0.99456,0.92525,1.0566,0.84412,0.47074,0.57414,0.39647,1.13965,0.94321,1.09138,0.000266125,0.000266125,0.000266125
60,1629.18,0.99482,0.90403,1.05356,0.63405,0.57651,0.59459,0.41584,1.10122,0.93308,1.07237,0.000259938,0.000259938,0.000259938
61,1665.16,0.97296,0.88488,1.05932,0.79539,0.52909,0.57993,0.40446,1.09904,0.93523,1.07792,0.00025375,0.00025375,0.00025375
62,1692.65,0.98686,0.8917,1.04769,0.78196,0.52374,0.58386,0.40151,1.12318,0.95599,1.08964,0.000247563,0.000247563,0.000247563
63,1718.1,0.98789,0.89249,1.05327,0.78238,0.5309,0.61397,0.42344,1.10316,0.93757,1.08237,0.000241375,0.000241375,0.000241375
64,1744.25,0.97917,0.86812,1.04293,0.7216,0.55004,0.62139,0.43054,1.08418,0.91908,1.084,0.000235188,0.000235188,0.000235188
65,1770.01,0.95044,0.89356,1.04769,0.73165,0.55075,0.61349,0.42475,1.08608,0.9152,1.06828,0.000229,0.000229,0.000229
66,1794.81,0.98374,0.87859,1.04856,0.69582,0.57502,0.61563,0.42115,1.08268,0.90523,1.06993,0.000222813,0.000222813,0.000222813
67,1819.74,0.95622,0.88418,1.04879,0.78156,0.53776,0.61495,0.42094,1.05971,0.89042,1.05698,0.000216625,0.000216625,0.000216625
68,1844.27,0.95151,0.87959,1.05182,0.7351,0.53588,0.59971,0.41072,1.10431,0.89006,1.07605,0.000210437,0.000210437,0.000210437
69,1869.05,0.95384,0.8546,1.03726,0.76523,0.53978,0.60554,0.41484,1.11268,0.89581,1.09396,0.00020425,0.00020425,0.00020425
70,1893.62,0.93504,0.83166,1.0346,0.76766,0.54355,0.62663,0.42592,1.10004,0.92225,1.07614,0.000198063,0.000198063,0.000198063
71,1918.15,0.94786,0.84246,1.03911,0.80333,0.52812,0.60007,0.42,1.08058,0.90486,1.07196,0.000191875,0.000191875,0.000191875
72,1942.72,0.92046,0.84898,1.04307,0.79834,0.51508,0.6112,0.41395,1.07904,0.90612,1.06384,0.000185688,0.000185688,0.000185688
73,1967.45,0.92061,0.84245,1.03098,0.81393,0.5193,0.59767,0.41805,1.09402,0.91112,1.07195,0.0001795,0.0001795,0.0001795
74,1991.91,0.93283,0.83551,1.03187,0.76962,0.52764,0.60666,0.4187,1.10485,0.91111,1.07194,0.000173313,0.000173313,0.000173313
75,2016.53,0.92087,0.8481,1.03211,0.73143,0.53474,0.60075,0.41671,1.08423,0.90635,1.07965,0.000167125,0.000167125,0.000167125
76,2040.97,0.94223,0.83519,1.03606,0.75267,0.52333,0.60388,0.42179,1.07717,0.90788,1.07264,0.000160938,0.000160938,0.000160938
77,2065.73,0.92364,0.81797,1.02399,0.782,0.53358,0.61604,0.42668,1.08398,0.88782,1.06794,0.00015475,0.00015475,0.00015475
78,2090.63,0.94092,0.83051,1.03056,0.79239,0.53439,0.61688,0.42927,1.07386,0.87582,1.06813,0.000148563,0.000148563,0.000148563
79,2115.26,0.90296,0.81958,1.01482,0.77558,0.52594,0.61133,0.43,1.058,0.85949,1.05867,0.000142375,0.000142375,0.000142375
80,2139.77,0.89243,0.78431,1.01933,0.75136,0.52258,0.60872,0.42422,1.06956,0.86252,1.06359,0.000136187,0.000136187,0.000136187
81,2164.69,0.88926,0.7987,1.02347,0.80681,0.51559,0.61415,0.42963,1.06044,0.86463,1.06253,0.00013,0.00013,0.00013
82,2189.09,0.86978,0.79352,1.02497,0.79207,0.52064,0.6309,0.43763,1.04747,0.85251,1.05056,0.000123812,0.000123812,0.000123812
83,2213.6,0.92437,0.81744,1.02405,0.80002,0.55084,0.63877,0.43568,1.05008,0.85386,1.05124,0.000117625,0.000117625,0.000117625
84,2238.04,0.88261,0.77899,1.00815,0.77846,0.5558,0.63043,0.43253,1.0497,0.85447,1.04988,0.000111438,0.000111438,0.000111438
85,2262.44,0.89676,0.78933,1.02277,0.7602,0.55908,0.62117,0.43414,1.04846,0.85832,1.05664,0.00010525,0.00010525,0.00010525
86,2286.7,0.90128,0.78187,1.01817,0.77925,0.55535,0.63882,0.44465,1.04522,0.85518,1.05601,9.90625e-05,9.90625e-05,9.90625e-05
87,2311.13,0.90147,0.79455,1.02393,0.78099,0.55378,0.6288,0.44047,1.04066,0.84607,1.04847,9.2875e-05,9.2875e-05,9.2875e-05
88,2335.54,0.91488,0.80296,1.0223,0.77576,0.56258,0.63908,0.44151,1.02794,0.85021,1.04414,8.66875e-05,8.66875e-05,8.66875e-05
89,2359.92,0.90744,0.81371,1.01592,0.80231,0.52118,0.6266,0.43651,1.0436,0.84806,1.04956,8.05e-05,8.05e-05,8.05e-05
90,2385,0.86043,0.76866,1.0139,0.80909,0.54822,0.63179,0.43973,1.04371,0.84413,1.05105,7.43125e-05,7.43125e-05,7.43125e-05
91,2409.64,0.82832,0.7612,0.98591,0.83305,0.53811,0.63019,0.44294,1.04164,0.86776,1.04482,6.8125e-05,6.8125e-05,6.8125e-05
92,2433.8,0.84262,0.75927,0.9761,0.79982,0.57492,0.63733,0.44496,1.03955,0.89841,1.04691,6.19375e-05,6.19375e-05,6.19375e-05
93,2458.57,0.81186,0.73843,0.97664,0.71482,0.59209,0.63149,0.43296,1.04809,0.90084,1.0646,5.575e-05,5.575e-05,5.575e-05
94,2482.67,0.80592,0.73206,0.97475,0.73329,0.58246,0.63318,0.43497,1.04123,0.89479,1.06079,4.95625e-05,4.95625e-05,4.95625e-05
95,2507.4,0.80363,0.72027,0.96337,0.74078,0.58381,0.63383,0.43295,1.04639,0.88598,1.05736,4.3375e-05,4.3375e-05,4.3375e-05
96,2531.08,0.79049,0.71268,0.9723,0.75481,0.57728,0.63308,0.43294,1.05577,0.89093,1.05945,3.71875e-05,3.71875e-05,3.71875e-05
97,2554.88,0.7872,0.71094,0.96425,0.78495,0.55677,0.63235,0.43929,1.04566,0.87966,1.05741,3.1e-05,3.1e-05,3.1e-05
98,2578.39,0.79312,0.72905,0.97279,0.77865,0.56606,0.6338,0.43307,1.04201,0.87211,1.05755,2.48125e-05,2.48125e-05,2.48125e-05
99,2602.25,0.77824,0.71445,0.96872,0.77869,0.56626,0.63149,0.43245,1.04537,0.86724,1.0565,1.8625e-05,1.8625e-05,1.8625e-05
100,2625.76,0.77464,0.70263,0.96369,0.75974,0.56382,0.63055,0.43218,1.04121,0.8693,1.05463,1.24375e-05,1.24375e-05,1.24375e-05
