epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4447,0,15.343,0,0,0,0,0,0,35.4352,0,0.000204861,0.000204861,0.000204861
2,65.4244,0,13.8159,0,0,0,0,0,0,28.7048,0,0.000405013,0.000405013,0.000405013
3,96.7349,0,12.797,0,0,0,0,0,0,29.3423,0,0.000596915,0.000596915,0.000596915
4,127.931,0,12.022,0,0,0,0,0,0,27.2343,0,0.000587875,0.000587875,0.000587875
5,159.097,0,11.2816,0,0,0,0,0,0,24.4332,0,0.0005755,0.0005755,0.0005755
6,190.076,0,10.5729,0,0,0,0,0,0,24.059,0,0.000563125,0.000563125,0.000563125
7,221.109,0,9.8426,0,0,0,0,0,0,22.6411,0,0.00055075,0.00055075,0.00055075
8,251.927,0,9.14815,0,0,0,0,0,0,20.805,0,0.000538375,0.000538375,0.000538375
9,282.764,0,8.48154,0,0,0,0,0,0,19.3566,0,0.000526,0.000526,0.000526
10,313.579,0,7.84871,0,0,0,0,0,0,17.4465,0,0.000513625,0.000513625,0.000513625
