epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1937,1.58473,4.05756,1.42029,0.01414,0.35536,0.06461,0.04006,1.48436,3.87774,1.2416,0.000203373,0.000203373,0.000203373
2,48.2265,1.57655,3.06678,1.32617,0.70771,0.12714,0.12738,0.07179,1.61652,2.85971,1.31482,0.000403555,0.000403555,0.000403555
3,72.1461,1.55186,2.38753,1.31786,0.59464,0.22319,0.19619,0.11144,1.5173,2.35299,1.2898,0.000595486,0.000595486,0.000595486
4,95.901,1.51083,2.12051,1.29771,0.78727,0.219,0.24842,0.14073,1.45903,2.52195,1.28686,0.000587875,0.000587875,0.000587875
5,119.678,1.45609,1.91103,1.28506,0.76758,0.24504,0.24453,0.13882,1.45582,2.00376,1.22834,0.0005755,0.0005755,0.0005755
6,143.026,1.43529,1.86347,1.26337,0.77298,0.24973,0.27669,0.16407,1.39043,1.74861,1.21804,0.000563125,0.000563125,0.000563125
7,166.563,1.44984,1.78751,1.30088,0.80022,0.31164,0.33054,0.19625,1.36363,1.85533,1.2227,0.00055075,0.00055075,0.00055075
8,190.37,1.38393,1.65663,1.24413,0.75261,0.29886,0.30758,0.18737,1.40218,1.56044,1.23411,0.000538375,0.000538375,0.000538375
9,214.256,1.36994,1.60025,1.23638,0.7709,0.33832,0.35043,0.20621,1.38458,1.53258,1.22084,0.000526,0.000526,0.000526
10,237.755,1.31992,1.5574,1.20616,0.73148,0.3545,0.36368,0.23065,1.3099,1.48896,1.21011,0.000513625,0.000513625,0.000513625
11,261.209,1.35319,1.53431,1.24143,0.72242,0.345,0.34631,0.20626,1.35332,1.47337,1.24307,0.00050125,0.00050125,0.00050125
12,284.705,1.34338,1.53416,1.21874,0.72676,0.34566,0.35259,0.21167,1.33914,1.44035,1.21838,0.000488875,0.000488875,0.000488875
