epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9504,1.4762,3.43826,1.47066,0.64102,0.075,0.193,0.09594,1.2679,3.13275,1.20336,0.00034441,0.00034441,0.00034441
2,38.3556,1.3697,2.13362,1.3542,0.59887,0.15841,0.15278,0.08405,1.23023,2.45513,1.3175,0.000686071,0.000686071,0.000686071
3,56.6529,1.30626,1.74023,1.30529,0.66958,0.21396,0.19043,0.09887,1.29551,2.13755,1.30793,0.00101365,0.00101365,0.00101365
4,76.0005,1.30697,1.6164,1.30894,0.70086,0.16646,0.18681,0.07123,1.6188,2.55786,1.61224,0.00104501,0.00104501,0.00104501
5,95.5487,1.36284,1.61053,1.34494,0.37015,0.33333,0.26974,0.11255,1.34937,2.35373,1.38145,0.00102301,0.00102301,0.00102301
6,113.649,1.30699,1.52846,1.30467,0.39026,0.3122,0.24003,0.10889,1.35315,1.78505,1.33375,0.00100101,0.00100101,0.00100101
7,132.06,1.2623,1.45918,1.29785,0.36581,0.2729,0.23668,0.11441,1.25658,2.75562,1.33691,0.000979013,0.000979013,0.000979013
8,150.348,1.23679,1.41115,1.2936,0.3492,0.32525,0.22725,0.09845,1.36475,2.05897,1.31374,0.000957015,0.000957015,0.000957015
9,168.742,1.20291,1.34172,1.2291,0.38637,0.28067,0.2089,0.11244,1.18803,1.57333,1.26611,0.000935018,0.000935018,0.000935018
10,186.974,1.22392,1.36679,1.25968,0.5761,0.307,0.31577,0.1496,1.13003,1.46368,1.22683,0.00091302,0.00091302,0.00091302
11,205.236,1.11128,1.24115,1.21749,0.41517,0.37521,0.25573,0.12161,1.15919,1.51633,1.19399,0.000891022,0.000891022,0.000891022
12,223.261,1.23611,1.316,1.24651,0.56627,0.32501,0.32899,0.16979,1.19539,1.31393,1.23534,0.000869024,0.000869024,0.000869024
13,241.584,1.13064,1.17334,1.20306,0.49298,0.3159,0.30477,0.17097,1.08331,1.40557,1.17009,0.000847026,0.000847026,0.000847026
14,259.945,1.0802,1.18988,1.19588,0.5688,0.30484,0.3492,0.18,1.07636,1.32817,1.18713,0.000825029,0.000825029,0.000825029
15,278.157,1.09626,1.16713,1.17093,0.57701,0.27363,0.3308,0.17526,1.19642,1.18202,1.21678,0.000803031,0.000803031,0.000803031
16,296.275,1.12227,1.13604,1.17876,0.55356,0.31438,0.32872,0.17157,1.17893,1.28046,1.23954,0.000781033,0.000781033,0.000781033
17,314.4,1.08122,1.14267,1.16663,0.65852,0.28611,0.31291,0.16168,1.19478,1.24248,1.22233,0.000759035,0.000759035,0.000759035
18,332.812,1.06778,1.06269,1.155,0.58706,0.29444,0.27173,0.13846,1.21648,1.2667,1.28006,0.000737037,0.000737037,0.000737037
19,351.015,1.06589,1.08671,1.18346,0.55922,0.26456,0.31864,0.16762,1.17087,1.24188,1.21091,0.00071504,0.00071504,0.00071504
20,370.372,1.08677,1.07715,1.17764,0.60935,0.28199,0.3484,0.18944,1.13396,1.12336,1.1896,0.000693042,0.000693042,0.000693042
21,391.947,0.97449,1.0082,1.16179,0.64928,0.32551,0.36025,0.1793,1.11881,1.19679,1.18192,0.000671044,0.000671044,0.000671044
22,410.987,1.03826,0.98831,1.15807,0.9131,0.29789,0.34482,0.18667,1.06406,1.0861,1.17909,0.000649046,0.000649046,0.000649046
23,430.565,1.00522,1.00087,1.12714,0.80105,0.30262,0.3611,0.20511,1.06369,1.07512,1.12997,0.000627048,0.000627048,0.000627048
24,449.293,1.00175,0.98622,1.14585,0.73205,0.30175,0.34475,0.20789,1.0298,1.05746,1.14812,0.000605051,0.000605051,0.000605051
25,467.717,0.97112,0.96309,1.11716,0.71896,0.30232,0.33159,0.1956,1.1127,1.07167,1.20038,0.000583053,0.000583053,0.000583053
26,486.108,0.99848,0.96158,1.12813,0.7911,0.31008,0.34309,0.19593,1.11527,1.01724,1.2161,0.000561055,0.000561055,0.000561055
27,504.854,0.94923,0.90267,1.1118,0.77276,0.33076,0.36112,0.19601,1.07631,1.00958,1.21524,0.000539057,0.000539057,0.000539057
28,523.479,0.96862,0.92559,1.11627,0.62638,0.34555,0.35065,0.17816,1.10847,1.2106,1.2199,0.000517059,0.000517059,0.000517059
29,541.813,0.9552,0.89038,1.11532,0.59448,0.3424,0.3538,0.1953,1.0473,1.03258,1.144,0.000495062,0.000495062,0.000495062
30,559.924,0.9576,0.91222,1.10556,0.85163,0.31245,0.36619,0.20112,1.099,0.98044,1.16034,0.000473064,0.000473064,0.000473064
31,578.115,0.99619,0.94079,1.1068,0.81849,0.31901,0.3691,0.21175,1.06269,0.96923,1.17168,0.000451066,0.000451066,0.000451066
32,596.355,0.92486,0.9059,1.12713,0.8545,0.33548,0.37111,0.20498,1.11299,0.96799,1.20227,0.000429068,0.000429068,0.000429068
33,614.474,0.90743,0.88085,1.10474,0.91263,0.32562,0.37379,0.2036,1.12047,1.01193,1.1959,0.00040707,0.00040707,0.00040707
34,632.433,0.97501,0.96404,1.13615,0.86804,0.31008,0.37347,0.20621,1.06383,0.98145,1.18638,0.000385073,0.000385073,0.000385073
